Ownership Name,DBA Name,Street Address,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail City,Mail State,NAICS Code,NAICS Code Description,LIC Code,LIC Code Description
Walgreen Co,Walgreens #03711,1189 Potrero Ave,10/01/1968,NA,02/01/1997,NA,Deerfield,IL,4400-4599,Retail Trade,H05 Pos01,Multiple
Walgreen Co,Walgreen Co,1979 Mission St,10/01/1968,NA,06/02/2002,12/25/2019,Deerfield,IL,4400-4599,Retail Trade,H83,Supermarkets W/1 Food Prep
Walgreen Co,Walgreens #09886,3400 Cesar Chavez,10/01/1968,NA,01/22/2010,NA,Deerfield,IL,4400-4599,Retail Trade,H04 Pos01,Multiple
Gonzalez H Elsa/arana Socorro,New Casa Maria Produce Market,1201 Van Ness Ave,03/05/2008,NA,03/05/2008,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Pos01 Wm18 Wm30,Multiple
Bay Area Warehouse Stores Inc.,Food 4 Less #357,1800 Folsom St,08/27/1992,NA,08/27/1992,NA,Compton,CA,4400-4599,Retail Trade,D19 H31 H73 H83 Pos01 Wm30,Multiple
Karajah Kamel F,Smoke Time,2733 Mission St,03/01/1997,NA,07/16/2009,NA,San Francisco,CA,7220-7229,Food Services,H03 H31,Multiple
Self Serve Petroleum Inc,Self-Serve Petrolium,599 Van Ness Ave,06/15/1993,NA,06/15/1993,NA,South San Francisco,CA,4400-4599,Retail Trade,D08 D14 H07 H60,Multiple
Nomayca Inc,International Store,2481 Mission St,12/27/2006,NA,01/01/2007,03/02/2020,San Francisco,CA,4400-4599,Retail Trade,H03,"Retail Mkts W/o Prep (Under 5,001)"
Samiramis Imports Inc,Samiramis Imports Inc,2990 Mission St,04/01/1972,NA,04/01/1972,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 Wm30,Multiple
Rainbow Grocery Inc,Rainbow Grocery Cooperative In,1745 Folsom St,08/11/1975,NA,12/31/1990,NA,San Francisco,CA,4400-4599,Retail Trade,H73 H81 Pos01 Wm18 Wm30,Multiple
Zaher & Sons Inc,W-K Market,3098 24th St,06/01/2013,NA,06/01/2013,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Araj Paul B,Dagwood & Scoops,2736 24th St,12/01/2009,10/15/2020,12/01/2009,10/15/2020,NA,NA,7220-7229,Food Services,H07 Wm18,Multiple
Karla Garcia,Bris's Creations,2782 24th St,10/01/2018,NA,10/01/2018,NA,San Francisco,CA,4400-4599,Retail Trade,H89,Retail Bakeries W/o Food Prep
Totah B/totah M/ Totah N,Norms Market,2201 Bryant St,10/01/1977,NA,10/01/1977,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Fadhel Hizam A,George's Market,2268 Mission St,07/01/1998,NA,07/01/1998,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Biko Inc,Mikes Grocery & Liquor,2499 Mission St,12/03/2012,03/12/2020,12/03/2012,03/12/2020,NA,NA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Le Dix-Sept Llc,Le Dix-Sept,3376 18th St,10/21/2011,NA,10/21/2011,NA,Oakland,CA,7220-7229,Food Services,H89,Retail Bakeries W/o Food Prep
Mehari Alemayehu A/solomon A,Decamere Super Market,1001 Valencia St,11/15/1998,NA,11/15/1998,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Cervantes Marisa,All Star Candy,3350 18th St,05/01/2015,11/30/2020,05/01/2015,11/30/2020,NA,NA,4400-4599,Retail Trade,H03,"Retail Mkts W/o Prep (Under 5,001)"
Biuon Inc,Biuon Inc,1798 Mission St,11/07/1998,NA,11/07/1998,NA,San Bruno,CA,4400-4599,Retail Trade,D08 D13 H03 H31,Multiple
Rat Oil Inc,South Van Ness Brushless,505 Van Ness Ave,01/15/1999,NA,01/15/1999,NA,South San Francisco,CA,4400-4599,Retail Trade,D03 D23 D27 D39 H03 H28 H31 Pos01 Wm08,Multiple
Shuaibi Zaina A,Maurices Corner,3046 24th St,12/05/2013,NA,12/05/2013,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
E L I M Corporation,Evergreen Supermarket,2539 Mission St,01/01/1999,06/17/2021,01/01/1999,06/17/2021,NA,NA,4400-4599,Retail Trade,H07 H31 H73 Pos01 Wm18 Wm30,Multiple
Sh Empire Market Inc,Empire Liquor & Grocery,1859 Market St,12/15/2009,01/31/2020,12/15/2009,01/31/2020,NA,NA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Ctr For Urban Edu About Su Agr,Mission Community Market,84 Bartlett St,05/01/2003,NA,05/22/2018,NA,San Francisco,CA,7220-7229,Food Services,H14,Certified Farmers Markets
Lai Hung Dat,Basa Seafood Express,3064 24th St,07/01/2004,NA,04/15/2009,NA,San Francisco,CA,7220-7229,Food Services,H07 Wm18,Multiple
Afewerk Senait S,Nick's Foods,1659 Market St,03/01/2009,NA,12/12/2013,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Arman Zahra Naheed,Dollar Deal,2100 Mission St,10/01/2016,06/30/2021,10/01/2016,06/30/2021,NA,NA,4400-4599,Retail Trade,H03,"Retail Mkts W/o Prep (Under 5,001)"
Acevez Teresa,El Nuevo Porvenir,2950 21st St,08/09/2013,NA,08/09/2013,NA,San Francisco,CA,7220-7229,Food Services,H07 H31 Wm18,Multiple
Alhuzaibi Naji Nomanmohsen,Rubins Market,2997 Folsom St,06/20/2014,NA,06/20/2014,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Abdullah Ahmed A,Riccis Market,2790 24th St,02/01/2000,11/30/2019,02/01/2000,11/30/2019,NA,NA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Manea Esam A,Serve-U Market,2750 21st St,05/20/2003,NA,05/20/2003,NA,San Francisco,CA,7220-7229,Food Services,H07 H31 H73,Multiple
City Discount Meat & Grocery Market Inc,City Discount Meat & Grocery Mrket Inc,2298 Mission St,07/01/2014,02/28/2020,07/01/2014,02/28/2020,NA,NA,4400-4599,Retail Trade,H07 H31,Multiple
Hanna Ghattas,Fidas Market,1939 Mission St,07/15/1992,01/06/2020,07/15/1992,01/06/2020,NA,NA,4400-4599,Retail Trade,H03 H31 H73,Multiple
